SKU,NAME,sell_price,division_id
BAL049,Balocco - Tora Fiesta Lemon 18/400gr    ,4.69,10
BAL050,Balocco Tortino 12/650gr                ,7.39,10
BAL051,Balocco Tiramisu 12/650gr               ,7.39,10
BAL052,Balocco Maxiciok Caramel 12/800gr       ,9.59,10
BAL053,Balocco - Pandoro Cookie 12/800         ,9.59,10
BAL054,Balocco - Pandoro Ciocco Lampone 12/800g,9.59,10
BAL055,Balocco - Pandoro Classic Basso 8/750gr ,11.2,10
BAR001,Baronie Alpia Çokollate me Qumesht Alpin,1.1,10
BAR002,Baronie Alpia Çokollate Qumesht Alpin&La,1.22,10
BAR003,Baronie Alpia Çokollate e zeze 20/100g  ,0.64,10
BAR004,Baronie Alpia Çokollate Qumesht Alpin&Fe,1.28,10
BAR005,Baronie Sarotti Çokollate e Zeze me Port,1.62,10
BAR006,Baronie Sarotti Çokollate e Zeze 72% 10/,1.66,10
BAR007,Baronie Sarotti Çokollate e Zeze 85% 10/,1.99,10
BUL001,Motta Kek me krem çokollate 12/276g     ,3.09,10
BUL002,Motta Kek me krem kajsie 12/258g        ,2.59,10
BUL003,Motta Kek me krem kakao 12/258g         ,2.59,10
BUL004,Motta Kek me krem qershie 12/258g       ,2.59,10
BUL005,Motta Kek Yo-Yo me çokollate 12/210g    ,2.45,10
BUL006,Motta Kek girella me krem kakoje 12/280g,2.55,10
BUL007,Motta Panettone Pandoro TRD 12/700g     ,9.19,10
BUL008,Motta Panettone XI 16/1000g             ,10.89,10
BUL009,Motta Panettone Tartufone V.Box 8/800g  ,8.79,10
BUL010,Bauli Panettone Tartufone V.Box 8/800g  ,11.99,10
BUL011,Bauli Panettone Tartufone Dolce Noir 12/,11.09,10
CHW004,"Chips classic, CHIPS WAY 150g/P9        ",0.91,10
CHW006,"Chips classic I brinjëzuar, CHIPS WAY 15",0.91,10
CHW012,"Flips i pasur me proteina, CHIPS WAY 40g",0.161,10
CHW013,"Flips krokodil, me kikirik, CHIPS WAY 40",0.169,10
CHW014,"Flips krokodil, me kikirik, CHIPS WAY 15",0.59,10
CHW015,"Flips Jumbo classic, CHIPS WAY 80g/P12  ",0.36,10
CHW016,"Popcorn, CHIPS WAY 50g/P32              ",0.337,10
CHW017,"Popcorn, CHIPS WAY 100g/P16             ",0.674,10
CHW018,"GRICKO  i ëmbël, CHIPS WAY 50g/P36      ",0.36,10
CHW019,"GRICKO me 32% kikirik, CHIPS WAY 40g/P33",0.171,10
CHW020,"GRICKO me 32% kikirik, CHIPS WAY 150g/P1",0.59,10
CHW025,Gricko sticks me shije domate dhe paprik,0.245,10
CHW026,Gricko sticks me shije domate dhe paprik,0.59,10
CHW027,"Flips me 32% kikirik 1+1 GRATIS,  CHIPS ",0.17,10
CHW028,"Popcorn 100g + Popcorn 50g GRATIS , CHIP",0.67,10
CHW029,Gricko sticks me shije domate dhe paprik,0.25,10
CHW030,Flips me 32% kikirik  CHIPS WAY 40G 4+1 ,0.684,10
COL001,Colussi Biskote mengjesi 12/400g        ,2.07,10
COL004,Colussi Biskote me mjalte 10/300g       ,2.4,10
COL005,Colussi Biskote me drithera 10/300g     ,2.05,10
COL006,Colussi Biskote me çokollate 10/300g    ,2.22,10
COL007,"Biskota me kakao dhe drithëra, COLUSSI, ",2.44,10
COL008,Colussi Nic Nac Biskote 8/650g          ,3.422,10
COL009,Colussi Oswego Biskote pa sheqer 24/250g,1.44,10
COL010,Colussi Oswego Biskote pa sheqer 12/500g,2.21,10
COL011,Colussi Biskote me Qumesht 24/250g      ,1.21,10
COL012,Colussi Biskote me Qumesht 12/500g      ,2.24,10
COL013,Colussi Feta Biskotash Integrale 12/320g,2.48,10
COL014,Colussi Cracker me Kripe 20/250g        ,1.08,10
COL015,Colussi Cracker Integrale 20/250g       ,1.08,10
COL016,Colussi Cracker me Rozmarine 20/250g    ,1.28,10
COL100,Colussi Biskota kakao & drithera 6/450g ,4.42,10
CRA001,Croco Crackers Pizza Flavour 12/100g    ,0.45,10
CRA002,Croco Crackers te njelmet 12/400g       ,1.45,10
CRA003,Croco Crackers Mix & Brezel 12/250g     ,0.95,10
CRA004,Croco Crackers Mix & Brezel 10/500g     ,1.73,10
CRA005,Croco Brezel Maxi Croco 12/300g         ,0.97,10
CRA006,CROCO-Shkopinjë te gjatë njelmë 80g/40  ,0.223,10
CRA007,CROCO-Shkopinjë te gjate susam 80g/P40  ,0.223,10
CRA008,Croco Shkopinjë te njelmët 250g/Pako 15 ,0.591,10
CRA009,Coco-Shkopinjë te njel.te gjatë 250g/20 ,0.591,10
CRA010,CROCO-Shkopinjë te njelmët 125g Tray /14,0.385,10
CRA011,Croco Crackers me susam dhe fara 12/100g,0.48,10
CRA012,Croco Crackers me Djath Flavour 12/400g ,1.55,10
CRA013,Croco Crackers Pizza Flavour 12/400g    ,1.55,10
CRA014,CROCO-Mini Sticks 100g/Pako 12          ,0.29,10
CRA015,Croco Crackers Susam&Fara Lulekuqe 12/40,1.64,10
CRA016,CROCO-Shkopinjë te njelmët 80g/Pako 12  ,0.223,10
CRA017,Brezel me Susam dhe Fara 80g/Pako 12    ,0.229,10
